"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38133","testComprarMoedasVirtuaisCompleto()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory39Test","iscteiul.ista.blackbattleship.UserStory39Test","testComprarMoedasVirtuaisCompleto"
"","9058","testChangelogContemVersoes()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory77Test","iscteiul.ista.blackbattleship.UserStory77Test","testChangelogContemVersoes"
"","8798","testLeaderboardTemJogadores()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory25Test","iscteiul.ista.blackbattleship.UserStory25Test","testLeaderboardTemJogadores"
"","7242","testLeaderboardVisivel()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory25Test","iscteiul.ista.blackbattleship.UserStory25Test","testLeaderboardVisivel"
"","27251","testGerarUrlPartilhavel()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory3Test","iscteiul.ista.blackbattleship.UserStory3Test","testGerarUrlPartilhavel"
"","9716","testPlayOnlineDisponivelSemConta()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory17Test","iscteiul.ista.blackbattleship.UserStory17Test","testPlayOnlineDisponivelSemConta"
"","13258","testConsultarChangelogViaNavegacao()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory77Test","iscteiul.ista.blackbattleship.UserStory77Test","testConsultarChangelogViaNavegacao"
"Fluxo completo: login → criar torneio → copiar link → abrir torneio","43699","testCriarTorneioCompleto()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.UserStory48SelenideTest","iscteiul.ista.blackbattleship.selenide.tests.UserStory48SelenideTest","testCriarTorneioCompleto"
"","46963","navigationToAllTools()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.MainPageTest","iscteiul.ista.blackbattleship.MainPageTest","navigationToAllTools"
"","44719","search()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.MainPageTest","iscteiul.ista.blackbattleship.MainPageTest","search"
"Verifica que o URL partilhável está presente após criar a sala","26292","testUrlPartilhavelNaoVazio()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.UserStory3SelenideTest","iscteiul.ista.blackbattleship.selenide.tests.UserStory3SelenideTest","testUrlPartilhavelNaoVazio"
"","12074","testClicarPlayOnlineMostraModalNickname()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.UserStory17Test","iscteiul.ista.blackbattleship.UserStory17Test","testClicarPlayOnlineMostraModalNickname"
"","16390","toolsMenu()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.MainPageTest","iscteiul.ista.blackbattleship.MainPageTest","toolsMenu"
"Verifica que a página de moedas é acessível diretamente pelo URL","13762","testAcessoDiretoLojaCoins()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide.tests.UserStory39SelenideTest","iscteiul.ista.blackbattleship.selenide.tests.UserStory39SelenideTest","testAcessoDiretoLojaCoins"
